gvkey,primary_permno
003283,30736
003284,25567
003288,25583
003289,25604
003291,25612
003292,25639
003294,25647
003295,25655
003296,25671
003297,30744
003298,25698
003299,25719
003300,25727
003301,41945
003304,25735
003305,53508
003306,25743
003307,25751
003308,65189
003309,25770
003310,25778
003311,25786
003312,25794
003313,25815
003314,63116
003315,25823
003316,25831
003318,25858
003319,25874
003320,25882
003322,25911
003325,25938
003326,25946
003328,25954
003329,25962
003332,25997
003333,26009
003334,26025
003335,26033
003336,40125
003340,26068
003341,26076
003342,26084
003343,86925
003344,26092
003345,26105
003346,26113
003348,26121
003349,81070
003350,26148
003352,60900
003353,45452
003354,69307
003355,26199
003356,86933
003358,26201
003359,84479
003360,26220
003362,56274
003364,26244
003365,26252
003366,26279
003367,26287
003368,26295
003369,79618
003370,86941
003371,26316
003372,45460
003373,26332
003375,48637
003376,86743
003379,41902
003380,26367
003382,13625
003383,26375
003384,80701
003386,21434
003387,51880
003390,26439
003391,64418
003393,60169
003394,26463
003396,30760
003397,60425
003398,11471
003399,82165
003400,63941
003401,30779
003402,30787
003403,26490
003404,26498
003407,26535
003408,12000
003409,26551
003410,89317
003411,11391
003413,11404
003414,26570
003415,26578
003416,41929
003419,21821
003420,30816
003422,26586
003423,26594
003424,26607
003426,71765
003427,48821
003429,26650
003431,56742
003432,26658
003433,43895
003434,76861
003439,23229
003441,73315
003444,26711
003445,53591
003446,16723
003448,26746
003449,26754
003452,27895
003454,15819
003455,26789
003457,26810
003458,26818
003459,46658
003460,11447
003461,26834
003463,57250
003464,67192
003465,30840
003466,42091
003468,26877
003469,91983
003470,15915
003471,20052
003473,39335
003477,26957
003478,26965
003479,26981
003480,38914
003482,87012
003484,27028
003485,27036
003486,27044
003487,27052
003488,78272
003489,11498
003491,27087
003492,42593
003493,38666
003494,30875
003495,41152
003496,27108
003497,21979
003498,30883
003499,52388
003500,87039
003501,27116
003502,27430
003503,27124
003504,65541
003505,59248
003506,27342
003511,23894
003512,21258
003513,62826
003515,27204
003517,27212
003518,27239
003519,27247
003520,27255
003521,44214
003522,45997
003524,36150
003525,52791
003526,58392
003527,27263
003528,45268
003529,27271
003530,58835
003532,22293
003534,23659
003535,40432
003536,27335
003537,27343
003540,86212
003542,30912
003543,27370
003544,49445
003545,27386
003546,27394
003547,27407
003548,67205
003551,54906
003554,27458
003555,64565
003556,27474
003557,27482
003558,30947
003560,27503
003561,51692
003562,27511
003564,27538
003565,64733
003566,43190
003567,52134
003568,40854
003569,27546
003570,27562
003571,27589
003572,27597
003574,49496
003578,50868
003579,27610
003580,20204
003581,27618
003583,27634
003584,27642
003585,63124
003586,62164
003587,87063
003589,51385
003592,14229
003593,49592
003594,27677
003595,30971
003597,27685
003598,50649
003600,27693
003601,43271
003602,30998
003603,27706
003604,60281
003605,51676
003607,38420
003608,47634
003609,27722
003610,27749
003611,27757
003612,53575
003613,43502
003614,27765
003615,31026
003616,27773
003617,27800
003618,31042
003619,17726
003622,59256
003624,55714
003625,27802
003626,87119
003627,17128
003628,27829
003631,59520
003632,27837
003633,58165
003634,27845
003637,31069
003639,31077
003640,27861
003641,11543
003642,12044
003643,27888
003644,45479
003645,64207
003646,27896
003647,27909
003648,27917
003649,27925
003650,41080
003651,78270
003652,21151
003653,27960
003654,22226
003656,27968
003657,59264
003658,44118
003659,59694
003660,17515
003662,18091
003663,27984
003665,27992
003666,62527
003667,28004
003668,28012
003669,28039
003670,16758
003671,31093
003672,28055
003673,28063
003674,28071
003675,20589
003676,28090
003677,28098
003680,42657
003681,28135
003682,37787
003683,28143
003684,28151
003685,28170
003686,28178
003687,31114
003688,53022
003689,28186
003690,31122
003691,29744
003693,28207
003695,50761
003696,53911
003697,87135
003698,39861
003700,28215
003701,28223
003702,28231
003703,28250
003705,30067
003706,28258
003707,83186
003708,19828
003709,28274
003711,86786
003712,28282
003713,28311
003714,28330
003715,28338
